species,title_abstract,species_corrected,hosts_corrected,infection_site,infection_site_parenthesized,infection_site_not_in_text,parenthesized_not_in_text,infection_site_corrected,parenthesized_corrected
Amblyospora abserrati,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Amblyospora abserrati,Aedes abserratus,fat body,NA,fat body,NA,NA,NA
Amblyospora aestiva,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs. Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Amblyospora aectiva,NA,fat body,NA,fat body,NA,NA,NA
Amblyospora auriferi,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Amblyospora auriferi,Aedes aurifer,fat body,NA,fat body,NA,NA,NA
Amblyospora bakcharia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Amblyospora bakcharia,NA,Adipose in larvae,NA,Adipose in larvae,NA,NA,NA
Amblyospora baritia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Amblyospora baritia,NA,Adipose in larvae,NA,Adipose in larvae,NA,NA,NA
Amblyospora bogashovia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Amblyospora bogashovia,NA,Adipose in larvae,NA,Adipose in larvae,NA,NA,NA
Amblyospora camposi,"Life cycle and description of Amblyospora camposi n. sp. (Microsporidia: Amblyosporidae) in the mosquito Culex renatoi (Diptera, Culicidae) and the copepod Paracyclops fimbriatus fimbriatus (Copepoda, Cyclopidae). The life cycle of Amblyospora camposi n. sp. is described from the mosquito Culex renatoi and the copepod Paracyclops fimbriatus fimbriatus collected in the leaf axils of the plant Eryngium cabrerae in Argentina. Meiospores of A. camposi (5.8 x 4.1 μm) were infectious per os to female adults of the copepod P. f. fimbriatus. All developmental stages in the copepod had unpaired nuclei, with sporulation involving the formation of a sub-persistent, sporontogenic, interfacial envelope and the production of a second type of uninucleate spore. These spores, formed in the ovaries of P. f. fimbriatus, were large, pyriform, and measured 10.70 x 3.85 μm. When ingested they infected C. renatoi larvae to initiate a sequence that involves schizogony and gametogony and ends with plasmogamy and nuclear association to form diplokaryotic meronts. Oblong ovate binucleate spores (7.86 x 2.96 μm) are formed in the adult mosquito and are responsible for vertical transmission to the filial generation. This is the first report of an Amblyospora species from a mosquito that inhabits the small-water bodies held in parts of terresterial plants (phytotelmata).",Amblyospora camposi,Culex renatoi; Paracyclops fimbriatus fimbriatus,adipose; ovarian,NA,adipose; ovarian,NA,ovaries (Paracyclops fimbriatus fimbriatus),NA
Amblyospora cataphyllus,"Microsporidians in bloodsucking Aedes (O.) cataphylla mosquitoes in Ukraine [Mikrosporidii krovososushchikh komarov Aedes (O.) cataphylla Ukrainy.]. The paper reports the results of studies on Microsporidia from the bloodsucking mosquito Aedes cataphylla for the period from 1974 undertaken in the Kiev and Chernigov Provinces of the Ukraine. A new species, Amblyospora cataphyllus sp. n., is described from larvae of the mosquito. Living spores oval or elongate-oval, 6.3--7.5 x 4.5--5.0 (most commonly 6.8 x 4.8) microns, fixed spores oval, 5.6--6.9 x 3.8--4.8 microns. Mucocalyx becomes distinct around spores in 10 to 15 days after the preparation is made. Spontaneously ejected polar tube 125 microns long. Exospore smooth or undulate, 170 to 310 nm thick, endospore 60 to 160 nm. Polaroplast elongated and curved, its 1/3 is composed of closely situated plates and 2/3 of more widely arranged ones. Polar tube anisophyllous, forms 18 to 20 spires in a spore, of which 3 to 5 spires form basal area and 14 to 16 form distal area (of them 1-2 most thick spires form intermediate area). Nucleus large, in a shape of half-ring. In living spores posterior vacuole crescentic, in fixed ones it is strongly deformed together with hind pole of spores. Sporogony of Microsporidia takes place in larvae of mosquitoes of both sexes. Infection extensiveness of IV stage larvae is 10%.",Amblyospora cataphyllus,Aedes cataphylla,fat body,NA,fat body,NA,NA,NA
Amblyospora certa,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs. Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Amblyospora certa,Ae. cinerus,fat body,NA,fat body,NA,NA,NA
Amblyospora chulymia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Amblyospora chulymia,NA,Adipose in larvae,NA,Adipose in larvae,NA,NA,NA
Amblyospora cinerei,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Amblyospora cinerei,Aedes cinereus,fat body,NA,fat body,NA,NA,NA
Amblyospora criniferis,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",Amblyospora criniferis,Aedes crinifer,fat body,NA,fat body,NA,NA,NA
Amblyospora dolosi (1),"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",Amblyospora dolosi,Culex dolosus,fat body; ovary,NA,fat body; ovary,NA,NA,NA
Amblyospora excrucii,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Amblyospora excrucii,Aedes excruciates,fat body,NA,fat body,NA,NA,NA
Amblyospora ferocis (Amblyospora ferocious),"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",Amblyospora ferocis,Psorophora ferox,fat body,NA,fat body,NA,NA,NA
